STATE_ABBR,statename,state,region,division,rz_ext,rz_agr,rz_cns,rz_neu,rz_opn,mzextra,mzagree,mzconsc,mzneuro,mzopen,fzextra,fzagree,fzconsc,fzneuro,fzopen,E_LT30,A_LT30,C_LT30,N_LT30,O_LT30,E_GT30,A_GT30,C_GT30,N_GT30,O_GT30,GenD_E,GenD_A,GenD_C,GenD_N,GenD_O,AgeD_E,AgeD_A,AgeD_C,AgeD_N,AgeD_O,TFR,alpha,peak,stop,ageFB,t_ageFM,nevermar,divorce,cohabit,abortion,t_nmf,unintprg,famplnpw,med_inc,perAA,perHisp,perFem,perBA,perUrb,voteO,vryrel,relcons
HI,Hawaii,15,4,9,-0.038544,0.079442,-0.066985,-0.064532,-0.076814,0.062101,0.508329,0.272183,-0.271763,0.395359,0.191833,0.620858,0.379395,-0.044549,0.330817,-0.064905,0.117423,-0.079627,-0.043359,-0.085635,0.035764,-0.027622,-0.031348,-0.124214,-0.051951,-0.129732,-0.112529,-0.107212,-0.227214,0.064542,-0.100669,0.145045,-0.048279,0.080855,-0.033684,2.152,11.60166,25.518452,1.282019,25.7,27.85,0.332238,0.013,7.7,22.6,32.8,59,124,63030,1.6,8.9,49.9,29.4,91.93,71.85,34.1,14.72
IA,Idaho,16,4,8,0.034817,0.030036,0.020311,0.016116,-0.100966,0.125168,0.468079,0.316387,-0.275804,0.403179,0.237207,0.601358,0.409969,0.029846,0.303466,0.046263,0.039906,0.040199,0.002212,-0.101046,-3.50E-05,-1.70E-05,-0.040247,0.058452,-0.100721,-0.112039,-0.133279,-0.093582,-0.30565,0.099713,0.046298,0.039923,0.080446,-0.05624,-0.000325,2.009,10.837134,27.958683,4.936018,24.5,26.7,0.279381,0.012944,6.9,11.3,30.5,44,109,47961,2.9,5,50.5,24.5,64.02,36.09,38.1,38.97
ID,Illinois,17,2,3,-0.017318,-0.008756,0.036104,-0.040328,-0.055993,0.086014,0.468648,0.337396,-0.317232,0.398457,0.204545,0.572114,0.417879,-0.003805,0.344678,-0.009996,0.000842,0.066134,-0.068144,-0.048226,-0.037567,-0.035296,-0.046934,0.03659,-0.077471,-0.118531,-0.103466,-0.080483,-0.313427,0.053779,0.027572,0.036139,0.113068,-0.104734,0.029245,2.2405,12.096181,26.122696,4.669183,23.8,24.8,0.253245,0.017199,6.6,6,25.5,41,69,43490,0.6,11.2,49.9,24.3,70.58,61.92,38.5,13.29
IL,Indiana,18,2,3,0.035545,0.015306,0.028885,0.002601,-0.008922,0.119267,0.480155,0.318385,-0.286117,0.433281,0.242944,0.5801,0.410067,0.026528,0.358051,0.035558,0.034472,0.047219,-0.002008,-0.001786,0.035499,-0.050364,-0.033936,0.018393,-0.033374,-0.123677,-0.099945,-0.091682,-0.312645,0.07523,5.90E-05,0.084836,0.081155,-0.020401,0.031587,1.882,6.058643,29.732033,3.970957,25.4,28.5,0.340446,0.012179,6.4,20.5,35.8,53,74,52972,14.5,15.8,51,30.3,88.49,49.95,42.6,19.74
IN,Iowa,19,2,4,-0.001311,0.00988,0.042442,0.041047,-0.040566,0.09608,0.468857,0.347912,-0.272057,0.433049,0.209005,0.590456,0.434215,0.049955,0.338915,0.008546,0.02029,0.07633,0.030462,-0.022367,-0.027046,-0.017299,-0.046035,0.068684,-0.08808,-0.112925,-0.121599,-0.086303,-0.322012,0.094134,0.035593,0.037589,0.122366,-0.038223,0.065713,1.965,10.481627,26.362204,4.548263,24,26.65,0.295974,0.01586,6.2,8.3,37.4,48,53,44613,9.1,6,50.8,22.4,72.44,53.93,41.7,14.02
KS,Kansas,20,2,4,-0.02016,0.006837,0.02463,-0.000938,-0.061947,0.085351,0.477336,0.329846,-0.286756,0.42197,0.195274,0.58409,0.4319,0.016655,0.328424,-0.021484,0.029494,0.064558,-0.019891,-0.047265,-0.016645,-0.053301,-0.081345,0.049368,-0.100917,-0.109923,-0.106754,-0.102054,-0.303411,0.093546,-0.00484,0.082795,0.145903,-0.069259,0.053652,2.157,10.695092,26.17762,4.03496,24.2,26.5,0.283232,0.015068,6.2,19.2,31.9,48,60,48257,5.9,10.5,50.4,29.3,74.2,41.65,44.6,19.31
KY,Kentucky,21,3,6,0.027716,0.002413,0.03017,0.067282,-0.080509,0.125644,0.471666,0.364071,-0.274365,0.405275,0.22123,0.583387,0.415153,0.07692,0.323987,0.031929,0.016868,0.054552,0.064749,-0.080083,0.017297,-0.033331,-0.030124,0.073546,-0.081563,-0.095586,-0.111721,-0.051082,-0.351285,0.081288,0.014632,0.050198,0.084676,-0.008797,0.00148,1.9675,12.147096,23.774458,4.104872,23.8,26.25,0.274454,0.018165,5.6,5.1,36,45,196,40062,7.8,3.1,50.8,20.3,58.38,41.17,46.6,34.13
LA,Louisiana,22,3,7,-0.018258,-0.021031,-0.031358,0.045809,-0.02231,0.069026,0.454078,0.330365,-0.271954,0.445709,0.205197,0.574974,0.388377,0.052245,0.348057,-0.024401,-0.003453,-0.006345,0.037875,-0.001606,-0.003074,-0.064484,-0.093188,0.06542,-0.073488,-0.136171,-0.120896,-0.058012,-0.324199,0.097652,-0.021327,0.061031,0.086844,-0.027545,0.071882,1.9495,12.086841,23.57578,3.862457,23.3,27.85,0.337815,0.015726,6,16.1,48.5,58,127,42505,32,4.2,51,20.9,73.19,39.93,52.9,24.11
MA,Maine,23,1,1,-0.033896,-0.028847,-0.030599,0.057983,0.042814,0.072178,0.46206,0.287277,-0.247354,0.437143,0.199212,0.554731,0.378469,0.058013,0.398365,-0.035416,-0.020129,-0.010527,0.054521,0.022511,-0.028419,-0.060266,-0.102936,0.07046,0.115981,-0.127034,-0.092671,-0.091192,-0.305367,0.038778,-0.006997,0.040138,0.092409,-0.015939,-0.09347,1.665,10.071405,32.161682,3.904915,27.7,29.75,0.3582,0.011986,8.3,18.3,31.5,47,145,62072,6.6,9.6,51.6,38.3,91.97,57.71,26.1,5.25
MD,Maryland,24,3,5,-0.047101,-0.029391,-0.032982,0.00186,0.028836,0.054988,0.460984,0.303347,-0.28325,0.451705,0.186392,0.563194,0.394838,0.018198,0.384232,-0.061939,-0.043852,-0.017922,0.011154,0.025763,-0.009624,0.007134,-0.07102,-0.021616,0.036598,-0.131404,-0.10221,-0.091491,-0.301448,0.067473,-0.052314,-0.050985,0.053098,0.032771,-0.010835,1.888,7.338196,29.836535,3.691246,26.1,28.45,0.343731,0.013593,6.8,29,33.1,56,172,68854,29.4,8.2,51.6,35.7,87.2,61.92,37.1,12.76
ME,Massachusetts,25,1,1,-0.029645,-0.076407,-0.078205,0.115334,0.021144,0.091841,0.447042,0.290128,-0.242268,0.435347,0.180964,0.537477,0.374359,0.097078,0.390397,-0.038637,-0.074967,-0.057527,0.115972,-0.001614,-0.011146,-0.079371,-0.120745,0.114022,0.067963,-0.089123,-0.090435,-0.084231,-0.339346,0.04495,-0.02749,0.004405,0.063218,0.001951,-0.069577,1.6975,11.635006,27.129807,4.437697,25.6,28.2,0.274875,0.015151,8.4,11.2,38.6,50,98,45815,1.2,1.3,51.1,26.5,38.66,61.8,27.1,3.81
MI,Michigan,26,2,3,0.007842,0.03242,0.044262,-0.012147,-0.046781,0.091858,0.476012,0.326821,-0.298339,0.411471,0.228659,0.599057,0.425932,0.017839,0.343067,0.008718,0.040605,0.054844,-0.004292,-0.048321,0.005238,0.008089,0.012807,-0.035494,-0.042202,-0.136801,-0.123045,-0.099111,-0.316178,0.068404,0.003481,0.032516,0.042036,0.031202,-0.006119,1.8525,9.641575,27.871798,4.464595,25,28.1,0.3184,0.013286,6.2,18.4,40.8,53,87,45413,14.2,4.4,50.9,25,74.57,57.43,38.7,13.35
MN,Minnesota,27,2,4,0.020813,0.091732,0.051585,-0.057776,-0.059752,0.105399,0.515604,0.330024,-0.320533,0.421709,0.228175,0.627058,0.445273,-0.014401,0.329965,0.027291,0.124028,0.083204,-0.066231,-0.082039,0.002367,-0.000232,-0.038452,-0.033699,0.003711,-0.122776,-0.111454,-0.115249,-0.306132,0.091744,0.024925,0.12426,0.121656,-0.032532,-0.08575,1.9615,10.289142,29.515154,4.441696,25.8,27.65,0.313659,0.01147,7.4,12.5,29.9,44,77,55459,5.2,4.7,50.4,31.4,73.27,54.06,40.1,14.62
MO,Mississippi,28,3,6,0.025111,0.023405,0.055672,-0.001301,-0.058177,0.11882,0.488069,0.352631,-0.296863,0.414946,0.221084,0.592598,0.448658,0.020495,0.336706,0.028193,0.033831,0.082353,-0.00618,-0.046436,0.017276,-0.003098,-0.012152,0.011102,-0.088025,-0.102264,-0.104529,-0.096027,-0.317358,0.07824,0.010917,0.036928,0.094504,-0.017282,0.041589,1.941,10.586706,26.03884,4.124506,24.1,26.7,0.293705,0.015523,6.4,6.3,36.7,53,118,44301,11.6,3.5,51,25,70.44,43,56.6,40.1
MS,Missouri,29,2,4,0.000616,0.065156,0.02074,0.015974,-0.098062,0.070078,0.504089,0.35794,-0.288266,0.397966,0.225459,0.614422,0.409482,0.033475,0.312698,-0.003768,0.080773,0.054085,0.005579,-0.071771,0.011621,0.025948,-0.062971,0.042073,-0.164063,-0.155381,-0.110333,-0.051542,-0.321741,0.085268,-0.015389,0.054825,0.117056,-0.036494,0.092292,1.9575,12.223821,23.096546,4.88343,22.6,26.55,0.322083,0.017728,4.6,4.6,51.2,65,118,36851,37,2.7,51.4,19.5,49.35,49.29,43.5,26.46
MT,Montana,30,4,8,-0.019189,0.003243,0.014666,-0.016454,0.011567,0.07686,0.480925,0.346833,-0.300762,0.449705,0.203861,0.578391,0.407384,0.006865,0.371518,-0.024063,0.014914,0.038418,-0.036233,0.023178,-0.007029,-0.025875,-0.044596,0.032896,-0.017402,-0.127001,-0.097466,-0.060551,-0.307627,0.078187,-0.017033,0.040789,0.083015,-0.069128,0.04058,1.9845,10.241247,26.606737,3.79043,24.5,27.1,0.269682,0.012295,7.5,12.3,28,53,74,42666,0.4,2.9,49.8,27.9,55.89,47.25,32.9,16.94
NC,Nebraska,31,2,4,0.010227,0.041493,0.057913,-0.019687,-0.040616,0.109566,0.494637,0.355424,-0.304154,0.424259,0.209273,0.605097,0.456236,0.006102,0.347203,0.005378,0.043854,0.079011,-0.016299,-0.020239,0.021164,0.036168,0.010329,-0.027328,-0.086572,-0.099707,-0.11046,-0.100812,-0.310256,0.077056,-0.015786,0.007686,0.068682,0.011029,0.066334,1.9055,11.396755,24.80303,2.927859,24.6,27.3,0.301725,0.013359,6.3,17.5,38.7,56,128,43326,21.5,8.4,51.3,26.1,66.09,41.6,45.7,17.1
ND,Nevada,32,4,8,0.042691,0.080576,0.067061,-0.043824,-0.165218,0.133351,0.490273,0.33395,-0.319028,0.37095,0.24495,0.627419,0.425209,-0.004904,0.265262,0.053497,0.09082,0.112161,-0.047645,-0.16738,0.003185,0.043124,-0.097824,-0.029854,-0.157313,-0.111599,-0.137146,-0.091259,-0.314124,0.105688,0.050312,0.047697,0.209985,-0.017792,-0.010067,2.037,11.088891,28.786621,5.163898,24.7,26.45,0.312596,0.011802,7.7,11.2,29.2,45,50,48670,1.2,2,49.5,26.3,59.9,55.15,29.8,14.38
NE,New Hampshire,33,1,1,0.060558,0.063805,0.088761,-0.062922,-0.102883,0.138846,0.498724,0.381757,-0.338151,0.391172,0.248256,0.616317,0.450614,-0.011427,0.3133,0.058794,0.076333,0.114261,-0.058417,-0.103345,0.065151,0.031191,0.02238,-0.074651,-0.101682,-0.10941,-0.117593,-0.068857,-0.326724,0.077872,-0.006357,0.045142,0.091881,0.016234,-0.001662,2.1425,10.651308,27.691153,4.52652,24.7,26.55,0.287905,0.013635,6.5,8.1,33,46,67,48408,4.5,9.2,50.4,27.7,73.13,54.13,24.3,4.21
NH,New Jersey,34,1,2,0.001643,-0.014479,-0.01766,0.051244,-0.013397,0.06327,0.472606,0.292755,-0.264979,0.425479,0.234753,0.56625,0.405051,0.056246,0.366249,-0.004779,-0.017517,-0.012519,0.038046,-0.029422,0.017741,-0.006862,-0.030544,0.084326,0.026767,-0.171483,-0.093644,-0.112296,-0.321225,0.05923,-0.022521,-0.010655,0.018025,-0.046281,-0.056189,1.664,10.297913,29.92714,4.583387,26.7,28.1,0.278921,0.014371,8,12.3,32.7,43,72,61042,1.1,2.8,50.7,32.9,60.3,57.27,35.2,4.69
NJ,New Mexico,35,4,8,-0.003121,-0.033108,-0.060323,0.062623,0.015907,0.092979,0.458396,0.262539,-0.245831,0.428235,0.221374,0.552793,0.362245,0.058652,0.382449,-0.018682,-0.023476,-0.061358,0.069652,0.003009,0.045141,-0.06298,-0.057113,0.040825,0.055909,-0.128395,-0.094397,-0.099706,-0.304483,0.045786,-0.063823,0.039504,-0.004246,0.028826,-0.0529,1.9,8.565762,31.044786,3.887184,27.2,29.05,0.332047,0.009969,5.5,31.3,29.9,55,88,67681,13.7,17.7,51.3,34.6,94.68,56.91,39.6,16.75
